2015-10-08 16:25:19 INFO  Headquarters:88 - Dijkstra přepočítal trasy za: 65ms.
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 2042, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 175, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 214, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 2059, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 234, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1279, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 169, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 95, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1307, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 893, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 2127, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 315, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 693, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 2170, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1258, capacity:50000, cargo:50000} byla přepadena piráty
2015-10-08 16:25:19 INFO  Path:147 - Loď SmallTransportShip{id: 1420, capacity:50000, cargo:50000} byla přepadena piráty
